                     1     1    15.8    17.8    21.2
                     2     2    11.9    15.4    12.2
                     3     3    11.2    11.2    12.1
                     4     4     9.0    10.9     9.4
                     5     5    14.8    15.4    16.7
                     6     6     6.5     9.7    12.1
                     7     7    11.1    11.4    11.9
                     8     8    13.4    12.3    15.4
                     9     9    11.7    15.7    18.9
                    10    10     8.0     9.3    19.1
                    11    11     8.1     9.9    17.9
                    12    12     9.7    11.7    15.2
                    13    13     5.2     6.2    11.9
                    14    14    10.9    12.9    13.1
                    15    15     7.0     9.9     9.0
                    16    16    13.8    13.5    15.0
                    17    17     8.6    13.1    14.1
                    18    18     6.7     9.1     9.5
                    19    19     5.2     7.6    13.1
                    20    20    11.9    12.2    13.4
                    21    21     5.4     7.9     5.5
                    22    22    13.9    19.0    15.4
                    23    23    10.5    10.2    14.7
                    24    24    14.3    17.9    14.6
                    25    25    12.8    15.7    18.2
                    26    26    11.5    11.4    13.5
                    27    27     8.0     9.1    10.3
                    28    28    10.1    11.3    13.2
                    29    29    14.1    16.7    21.1
                    30    30     9.1     9.1    17.5
